dt;year; AverageTemperature ;Country
1-02-1988;1988; 26 ;Venezuela
1-09-2005;2005; 26 ;Colombia
1-10-1979;1979; 26 ;Paraguay
1-03-1997;1997; 26 ;Colombia
1-03-1986;1986; 26 ;Venezuela
1-10-1990;1990; 26 ;Panama
1-04-2001;2001; 26 ;Brazil
1-01-2004;2004; 26 ;Colombia
1-10-1978;1978; 26 ;Paraguay
1-02-1995;1995; 26 ;Brazil
1-02-2012;2012; 26 ;Venezuela
1-10-2012;2012; 26 ;Venezuela
1-11-1985;1985; 26 ;Panama
1-02-2013;2013; 26 ;Venezuela
1-04-2007;2007; 26 ;Brazil
1-11-1983;1983; 26 ;Brazil
1-09-1983;1983; 26 ;Venezuela
1-11-1990;1990; 26 ;Venezuela
1-10-1973;1973; 26 ;Panama
1-10-2009;2009; 26 ;Paraguay
1-11-1998;1998; 26 ;Venezuela
1-11-1999;1999; 26 ;Panama
1-05-2005;2005; 26 ;Colombia
1-09-1990;1990; 26 ;Colombia
1-10-1993;1993; 26 ;Paraguay
1-01-2001;2001; 26 ;Brazil
1-08-1982;1982; 26 ;Colombia
1-02-1976;1976; 26 ;Panama
1-02-1996;1996; 26 ;Colombia
1-04-2009;2009; 26 ;Paraguay
1-03-2012;2012; 26 ;Colombia
1-06-2013;2013; 26 ;Colombia
1-08-2000;2000; 25 ;Venezuela
1-11-2004;2004; 25 ;Colombia
1-04-2007;2007; 25 ;Colombia
1-04-2009;2009; 25 ;Colombia
1-12-2001;2001; 25 ;Colombia
1-04-1982;1982; 25 ;Venezuela
1-10-1992;1992; 25 ;Venezuela
1-07-2010;2010; 25 ;Venezuela
1-09-1985;1985; 25 ;Venezuela
1-12-1977;1977; 25 ;Colombia
1-05-1997;1997; 25 ;Colombia
1-08-2013;2013; 25 ;Colombia
1-10-2010;2010; 25 ;Colombia
1-05-2013;2013; 25 ;Colombia
1-11-2000;2000; 25 ;Paraguay
1-12-2002;2002; 25 ;Venezuela
1-11-2002;2002; 25 ;Colombia
1-08-2004;2004; 25 ;Venezuela
1-08-1990;1990; 25 ;Colombia
1-08-1986;1986; 25 ;Colombia
1-08-1995;1995; 25 ;Colombia
1-11-2007;2007; 25 ;Colombia
1-01-1990;1990; 25 ;Colombia
1-04-2009;2009; 25 ;Brazil
1-11-1973;1973; 25 ;Paraguay
1-12-1989;1989; 25 ;Brazil
1-07-1997;1997; 25 ;Colombia
1-08-2000;2000; 25 ;Colombia
1-11-1983;1983; 25 ;Paraguay
1-01-2008;2008; 25 ;Colombia
1-01-1970;1970; 25 ;Colombia
1-03-1986;1986; 25 ;Colombia
1-04-2006;2006; 25 ;Brazil
1-01-1972;1972; 25 ;Brazil
1-08-1988;1988; 25 ;Venezuela
1-05-1998;1998; 25 ;Brazil
1-01-2009;2009; 25 ;Colombia
1-04-2011;2011; 25 ;Colombia
1-12-1999;1999; 25 ;Venezuela
1-08-2000;2000; 25 ;Brazil
1-01-1979;1979; 25 ;Venezuela
1-12-1989;1989; 25 ;Venezuela
1-04-1970;1970; 25 ;Colombia
1-10-1984;1984; 25 ;Venezuela
1-12-1994;1994; 25 ;Venezuela
1-04-1985;1985; 25 ;Brazil
1-09-1992;1992; 25 ;Brazil
1-02-1972;1972; 25 ;Colombia
1-03-1972;1972; 25 ;Colombia
1-08-1992;1992; 25 ;Venezuela
1-05-1999;1999; 25 ;Colombia
1-01-1999;1999; 25 ;Venezuela
1-06-1970;1970; 25 ;Venezuela
1-08-1994;1994; 25 ;Venezuela
1-01-1975;1975; 25 ;Colombia
1-07-1973;1973; 25 ;Venezuela
1-01-1984;1984; 25 ;Venezuela
1-09-2000;2000; 25 ;Colombia
1-05-1984;1984; 25 ;Brazil
1-12-1999;1999; 25 ;Colombia
1-05-2001;2001; 25 ;Brazil
1-12-1978;1978; 25 ;Venezuela
1-01-1984;1984; 25 ;Uruguay
1-08-1987;1987; 25 ;Brazil
1-10-1988;1988; 25 ;Colombia
1-06-2002;2002; 25 ;Colombia
1-12-1983;1983; 25 ;Colombia
1-11-2010;2010; 25 ;Colombia
1-02-1976;1976; 25 ;Venezuela
1-04-1972;1972; 25 ;Colombia
1-04-1982;1982; 25 ;Colombia
1-09-1984;1984; 25 ;Colombia
1-05-1972;1972; 25 ;Brazil
1-08-1972;1972; 25 ;Brazil
1-06-2010;2010; 25 ;Brazil
1-01-1985;1985; 25 ;Venezuela
1-08-1975;1975; 25 ;Colombia
1-07-1984;1984; 25 ;Venezuela
1-12-1971;1971; 24 ;Venezuela
1-07-2011;2011; 24 ;Brazil
1-07-2010;2010; 24 ;Brazil
1-01-1989;1989; 24 ;Venezuela
1-02-2008;2008; 24 ;Uruguay
1-04-1981;1981; 24 ;Paraguay
1-06-2004;2004; 24 ;Brazil
1-12-2006;2006; 24 ;Uruguay
1-05-1977;1977; 24 ;Brazil
1-11-1988;1988; 24 ;Bolivia
1-04-2006;2006; 24 ;Paraguay
1-12-1995;1995; 24 ;Uruguay
1-05-1989;1989; 24 ;Brazil
1-08-1978;1978; 24 ;Brazil
1-11-2011;2011; 24 ;Bolivia
1-10-2005;2005; 24 ;Paraguay
1-05-1998;1998; 24 ;Ecuador
1-07-1979;1979; 24 ;Brazil
1-02-2005;2005; 24 ;Uruguay
1-02-1986;1986; 24 ;Uruguay
1-07-1973;1973; 24 ;Brazil
1-02-1980;1980; 24 ;Uruguay
1-12-1985;1985; 24 ;Bolivia
1-12-2010;2010; 23 ;Bolivia
1-01-1988;1988; 23 ;Bolivia
1-10-1988;1988; 23 ;Bolivia
1-12-2008;2008; 23 ;Uruguay
1-01-2010;2010; 23 ;Ecuador
1-10-1970;1970; 15.115 ;Argentina
1-04-1998;1998; 23 ;Paraguay
1-01-2005;2005; 23 ;Ecuador
1-01-1970;1970; 23 ;Bolivia
1-12-1990;1990; 23 ;Bolivia
1-01-2002;2002; 23 ;Bolivia
1-02-1978;1978; 23 ;Ecuador
1-07-2000;2000; 23 ;Brazil
1-01-2004;2004; 23 ;Ecuador
1-12-1995;1995; 23 ;Bolivia
1-03-1973;1973; 23 ;Bolivia
1-12-1970;1970; 23 ;Bolivia
1-06-1997;1997; 23 ;Ecuador
1-09-1994;1994; 23 ;Bolivia
1-04-1992;1992; 23 ;Paraguay
1-05-1994;1994; 23 ;Paraguay
1-02-2013;2013; 23 ;Bolivia
1-02-2006;2006; 23 ;Bolivia
1-02-1973;1973; 23 ;Uruguay
1-07-1997;1997; 23 ;Ecuador
1-03-1979;1979; 23 ;Ecuador
1-03-1978;1978; 23 ;Bolivia
1-02-1982;1982; 23 ;Uruguay
1-01-1985;1985; 23 ;Bolivia
1-08-2009;2009; 23 ;Ecuador
1-01-1970;1970; 23 ;Ecuador
1-03-2009;2009; 23 ;Bolivia
1-01-1979;1979; 23 ;Ecuador
1-12-1979;1979; 23 ;Ecuador
1-03-1980;1980; 22 ;Bolivia
1-01-2011;2011; 22 ;Ecuador
1-05-1984;1984; 22 ;Paraguay
1-02-1993;1993; 22 ;Uruguay
1-02-1972;1972; 22 ;Ecuador
1-02-1977;1977; 22 ;Ecuador
1-03-2008;2008; 22 ;Ecuador
1-01-1981;1981; 22 ;Bolivia
1-12-1992;1992; 22 ;Uruguay
1-10-1977;1977; 22 ;Bolivia
1-02-1995;1995; 22 ;Uruguay
1-04-1989;1989; 22 ;Ecuador
1-09-2007;2007; 22 ;Bolivia
1-09-2011;2011; 22 ;Bolivia
1-11-1981;1981; 22 ;Ecuador
1-03-1992;1992; 22 ;Peru
1-09-2003;2003; 22 ;Ecuador
1-02-2008;2008; 22 ;Ecuador
1-09-1970;1970; 13.977 ;Argentina
1-09-2012;2012; 22 ;Ecuador
1-09-1993;1993; 22 ;Ecuador
1-04-1998;1998; 22 ;Bolivia
1-08-1995;1995; 22 ;Ecuador
1-09-1986;1986; 22 ;Ecuador
1-01-1975;1975; 22 ;Ecuador
1-09-1985;1985; 22 ;Paraguay
1-10-1981;1981; 22 ;Ecuador
1-07-1987;1987; 22 ;Paraguay
1-06-2003;2003; 22 ;Ecuador
1-10-2005;2005; 22 ;Ecuador
1-12-1973;1973; 22 ;Uruguay
1-07-2007;2007; 22 ;Ecuador
1-11-1973;1973; 22 ;Ecuador
1-05-1970;1970; 11.408 ;Argentina
1-11-2010;2010; 22 ;Ecuador
1-08-1970;1970; 9.493 ;Argentina
1-04-2012;2012; 22 ;Bolivia
1-12-1971;1971; 20.991 ;Argentina
1-01-1971;1971; 19.885 ;Argentina
1-09-2000;2000; 22 ;Bolivia
1-06-1970;1970; 22 ;Ecuador
1-09-1977;1977; 22 ;Bolivia
1-04-1981;1981; 21 ;Bolivia
1-02-1978;1978; 21 ;Peru
1-09-1970;1970; 21 ;Ecuador
1-05-1983;1983; 21 ;Paraguay
1-07-1992;1992; 21 ;Ecuador
1-01-2004;2004; 21 ;Peru
1-04-2001;2001; 21 ;Bolivia
1-01-2002;2002; 21 ;Peru
1-11-1972;1972; 21 ;Peru
1-09-1975;1975; 21 ;Ecuador
1-03-1975;1975; 21 ;Uruguay
1-05-1996;1996; 21 ;Paraguay
1-08-1994;1994; 21 ;Bolivia
1-11-1971;1971; 19.489 ;Argentina
1-10-2004;2004; 21 ;Peru
1-01-1991;1991; 21 ;Peru
1-12-1986;1986; 21 ;Peru
1-02-1971;1971; 19.404 ;Argentina
1-09-2009;2009; 21 ;Peru
1-04-1994;1994; 21 ;Peru
1-09-1987;1987; 21 ;Peru
1-11-1978;1978; 21 ;Peru
1-03-1971;1971; 18.102 ;Argentina
1-12-1983;1983; 21 ;Peru
1-04-1991;1991; 21 ;Peru
1-01-1997;1997; 21 ;Peru
1-08-2011;2011; 21 ;Paraguay
1-08-2008;2008; 21 ;Bolivia
1-01-1990;1990; 21 ;Peru
1-03-1984;1984; 21 ;Peru
1-10-1971;1971; 15.542 ;Argentina
1-09-1971;1971; 13.991 ;Argentina
1-09-1983;1983; 21 ;Paraguay
1-02-1982;1982; 21 ;Peru
1-04-2012;2012; 21 ;Peru
1-04-1971;1971; 12.882 ;Argentina
1-09-1995;1995; 21 ;Peru
1-11-1999;1999; 21 ;Peru
1-10-1992;1992; 21 ;Peru
1-01-1999;1999; 21 ;Peru
1-09-1983;1983; 20 ;Peru
1-04-2007;2007; 20 ;Peru
1-08-1971;1971; 10.237 ;Argentina
1-11-1987;1987; 20 ;Uruguay
1-12-2011;2011; 20 ;Peru
1-05-1971;1971; 10.011 ;Argentina
1-12-2010;2010; 20 ;Peru
1-12-1978;1978; 20 ;Peru
1-04-1985;1985; 20 ;Peru
1-02-2011;2011; 20 ;Peru
1-11-1984;1984; 20 ;Peru
1-03-1989;1989; 20 ;Peru
1-06-1992;1992; 20 ;Peru
1-04-2013;2013; 20 ;Peru
1-07-1983;1983; 20 ;Peru
1-08-1995;1995; 20 ;Peru
1-01-1989;1989; 20 ;Peru
1-08-2000;2000; 20 ;Bolivia
1-04-1978;1978; 20 ;Peru
1-09-1990;1990; 20 ;Peru
1-09-1986;1986; 20 ;Peru
1-06-1972;1972; 20 ;Peru
1-09-1976;1976; 20 ;Bolivia
1-08-2009;2009; 3 ;Panama
1-01-1998;1998; 3 ;Brazil
1-05-1972;1972; 2 ;Ecuador
1-08-1998;1998; 20 ;Bolivia
1-06-1971;1971; 5.887 ;Argentina
1-11-1986;1986; 20 ;Uruguay
1-05-1978;1978; 20 ;Paraguay
1-08-2011;2011; 20 ;Bolivia
1-05-1997;1997; 20 ;Bolivia
1-08-1983;1983; 20 ;Bolivia
1-06-1995;1995; 20 ;Peru
1-08-1986;1986; 20 ;Peru
1-05-1975;1975; 20 ;Peru
1-08-1976;1976; 20 ;Paraguay
1-08-2003;2003; 20 ;Paraguay
1-06-1972;1972; 19 ;Bolivia
1-08-1976;1976; 19 ;Peru
1-04-2007;2007; 19 ;Uruguay
1-07-1984;1984; 19 ;Bolivia
1-01-1972;1972; 22 ;Argentina
1-08-1980;1980; 19 ;Bolivia
1-03-1976;1976; 19 ;Uruguay
1-02-1972;1972; 21 ;Argentina
1-05-2008;2008; 19 ;Peru
1-12-1972;1972; 21 ;Argentina
1-06-1981;1981; 19 ;Peru
1-11-1976;1976; 19 ;Uruguay
1-07-2001;2001; 19 ;Peru
1-04-2000;2000; 19 ;Uruguay
1-06-1977;1977; 19 ;Peru
1-06-1970;1970; 19 ;Paraguay
1-11-1982;1982; 19 ;Uruguay
1-08-1992;1992; 19 ;Paraguay
1-07-1979;1979; 19 ;Paraguay
1-06-2004;2004; 19 ;Bolivia
1-04-1972;1972; 14 ;Argentina
1-07-1972;1972; 19 ;Bolivia
1-06-1975;1975; 19 ;Bolivia
1-10-2007;2007; 19 ;Uruguay
1-07-1988;1988; 19 ;Peru
1-09-1972;1972; 13 ;Argentina
1-10-2012;2012; 18 ;Uruguay
1-07-2013;2013; 18 ;Bolivia
1-10-1996;1996; 18 ;Uruguay
1-07-1970;1970; 18 ;Bolivia
1-06-1999;1999; 18 ;Bolivia
1-11-1972;1972; 17.604 ;Argentina
1-07-1993;1993; 18 ;Paraguay
1-04-2012;2012; 18 ;Uruguay
1-06-1988;1988; 17 ;Bolivia
1-07-2010;2010; 17 ;Bolivia
1-07-1996;1996; 17 ;Paraguay
1-03-1972;1972; 17.385 ;Argentina
1-06-2001;2001; 17 ;Bolivia
1-10-1972;1972; 14.209 ;Argentina
1-10-1973;1973; 17 ;Uruguay
1-05-1972;1972; 12.065 ;Argentina
1-07-1992;1992; 17 ;Bolivia
1-06-1972;1972; 9.098 ;Argentina
1-06-1971;1971; 16 ;Paraguay
1-01-1973;1973; 21.336 ;Argentina
1-02-1973;1973; 20.765 ;Argentina
1-12-1973;1973; 19.917 ;Argentina
1-09-1972;1972; 15 ;Uruguay
1-03-1973;1973; 19.098 ;Argentina
1-11-1973;1973; 17.441 ;Argentina
1-07-2006;2006; 15 ;Uruguay
1-10-1973;1973; 15.398 ;Argentina
1-02-1987;1987; 15 ;Chile
1-04-1973;1973; 14.337 ;Argentina
1-12-2011;2011; 14 ;Chile
1-09-1973;1973; 11.737 ;Argentina
1-06-1972;1972; 14 ;Uruguay
1-01-1997;1997; 14 ;Chile
1-01-1990;1990; 14 ;Chile
1-09-2003;2003; 14 ;Uruguay
1-09-2008;2008; 14 ;Uruguay
1-06-1992;1992; 14 ;Uruguay
1-01-1973;1973; 14 ;Chile
1-03-1992;1992; 13 ;Chile
1-01-1996;1996; 13 ;Chile
1-05-1973;1973; 10.625 ;Argentina
1-12-2007;2007; 13 ;Chile
1-12-1992;1992; 13 ;Chile
1-01-1976;1976; 13 ;Chile
1-03-1998;1998; 13 ;Chile
1-05-2006;2006; 13 ;Uruguay
1-07-1977;1977; 13 ;Uruguay
1-08-1973;1973; 9.217 ;Argentina
1-08-1988;1988; 13 ;Uruguay
1-06-1973;1973; 8.959 ;Argentina
1-03-2007;2007; 13 ;Chile
1-07-1973;1973; 6.345 ;Argentina
1-03-2005;2005; 13 ;Chile
1-01-1975;1975; 22 ;Argentina
1-02-1971;1971; 13 ;Chile
1-12-1975;1975; 21 ;Argentina
1-08-1994;1994; 12 ;Uruguay
1-12-1975;1975; 12 ;Chile
1-07-2001;2001; 12 ;Uruguay
1-07-1986;1986; 12 ;Uruguay
1-11-2011;2011; 12 ;Chile
1-07-1985;1985; 12 ;Uruguay
1-05-1987;1987; 12 ;Uruguay
1-11-1978;1978; 12 ;Chile
1-06-1998;1998; 12 ;Uruguay
1-09-1975;1975; 13 ;Argentina
1-02-1975;1975; 20.634 ;Argentina
1-11-1992;1992; 12 ;Chile
1-03-2000;2000; 12 ;Chile
1-11-2010;2010; 12 ;Chile
1-08-2013;2013; 11 ;Uruguay
1-03-1972;1972; 11 ;Chile
1-03-1975;1975; 18.045 ;Argentina
1-11-1975;1975; 17.443 ;Argentina
1-10-1975;1975; 15.389 ;Argentina
1-04-1983;1983; 11 ;Chile
1-04-1975;1975; 14.914 ;Argentina
1-08-1984;1984; 11 ;Uruguay
1-07-1975;1975; 11 ;Uruguay
1-06-2009;2009; 11 ;Uruguay
1-05-1975;1975; 11.619 ;Argentina
1-10-2001;2001; 10 ;Chile
1-10-2003;2003; 10 ;Chile
1-06-1975;1975; 10.042 ;Argentina
1-10-1999;1999; 10 ;Chile
1-04-1993;1993; 10 ;Chile
1-08-1975;1975; 8.929 ;Argentina
1-04-1994;1994; 10 ;Chile
1-11-2009;2009; 29.499 ;Paraguay
1-12-1985;1985; 29.122 ;Paraguay
1-03-1998;1998; 29.052 ;Panama
1-04-1998;1998; 28.943 ;Panama
1-01-1973;1973; 28.915 ;Paraguay
1-01-1998;1998; 28.827 ;Paraguay
1-01-2000;2000; 28.774 ;Paraguay
1-01-2004;2004; 28.763 ;Paraguay
1-05-1998;1998; 28.705 ;Panama
1-12-2012;2012; 28.685 ;Paraguay
1-02-2010;2010; 28.601 ;Paraguay
1-02-1998;1998; 28.547 ;Panama
1-12-1994;1994; 28.537 ;Paraguay
1-03-2010;2010; 28.521 ;Panama
1-02-1973;1973; 28.462 ;Paraguay
1-03-2002;2002; 28.374 ;Paraguay
1-01-1986;1986; 28.368 ;Paraguay
1-12-2002;2002; 28.364 ;Paraguay
1-01-2013;2013; 28.334 ;Paraguay
1-01-2012;2012; 28.314 ;Paraguay
1-01-1988;1988; 28.309 ;Paraguay
1-03-1983;1983; 28.304 ;Panama
1-04-1992;1992; 28.279 ;Panama
1-12-2006;2006; 28.279 ;Paraguay
1-12-1988;1988; 28.269 ;Paraguay
1-03-2002;2002; 28.258 ;Panama
1-04-2010;2010; 28.214 ;Panama
1-04-2009;2009; 28.212 ;Panama
1-04-2003;2003; 28.199 ;Panama
1-02-1984;1984; 28.189 ;Paraguay
1-01-2003;2003; 28.189 ;Paraguay
1-12-1997;1997; 28.173 ;Paraguay
1-03-2007;2007; 28.164 ;Panama
1-05-2010;2010; 28.158 ;Panama
1-02-2003;2003; 28.155 ;Panama
1-02-2012;2012; 28.153 ;Paraguay
1-03-2003;2003; 28.147 ;Panama
1-01-2006;2006; 28.147 ;Paraguay
1-05-1983;1983; 28.139 ;Panama
1-05-1997;1997; 28.126 ;Panama
1-02-2010;2010; 28.093 ;Panama
1-01-2010;2010; 28.088 ;Paraguay
1-01-2001;2001; 28.083 ;Paraguay
1-04-2005;2005; 28.081 ;Panama
1-12-2008;2008; 28.068 ;Paraguay
1-03-2004;2004; 28.062 ;Panama
1-08-1997;1997; 28.052 ;Panama
1-03-1987;1987; 28.042 ;Panama
1-01-1991;1991; 28.039 ;Paraguay
1-12-2010;2010; 28.035 ;Paraguay
1-01-2011;2011; 28.032 ;Paraguay
1-05-2002;2002; 28.021 ;Panama
1-01-1994;1994; 28.012 ;Paraguay
1-02-1977;1977; 27.999 ;Paraguay
1-02-1999;1999; 27.973 ;Paraguay
1-07-1997;1997; 27.967 ;Panama
1-01-1978;1978; 27.956 ;Paraguay
1-01-2002;2002; 27.952 ;Paraguay
1-12-1983;1983; 27.928 ;Paraguay
1-01-1983;1983; 27.915 ;Paraguay
1-01-1987;1987; 27.909 ;Paraguay
1-01-1998;1998; 27.905 ;Panama
1-03-2012;2012; 27.904 ;Panama
1-01-1997;1997; 27.901 ;Paraguay
1-02-2007;2007; 27.897 ;Panama
1-01-2007;2007; 27.893 ;Paraguay
1-02-1983;1983; 27.888 ;Panama
1-04-1987;1987; 27.885 ;Panama
1-04-1991;1991; 27.884 ;Panama
1-12-1991;1991; 27.874 ;Paraguay
1-04-1988;1988; 27.867 ;Panama
1-01-1996;1996; 27.863 ;Paraguay
1-04-1994;1994; 27.851 ;Panama
1-01-1993;1993; 27.844 ;Paraguay
1-03-2005;2005; 27.842 ;Panama
1-03-1988;1988; 27.827 ;Paraguay
1-04-1990;1990; 27.826 ;Panama
1-04-1997;1997; 27.823 ;Panama
1-04-2001;2001; 27.823 ;Panama
1-02-2004;2004; 27.817 ;Panama
1-04-2002;2002; 27.816 ;Panama
1-03-2010;2010; 27.807 ;Venezuela
1-01-1979;1979; 27.806 ;Paraguay
1-02-1975;1975; 27.799 ;Paraguay
1-05-1992;1992; 27.791 ;Panama
1-02-2007;2007; 27.786 ;Paraguay
1-04-2007;2007; 27.785 ;Panama
1-04-2004;2004; 27.778 ;Panama
1-01-1984;1984; 27.767 ;Paraguay
1-04-1993;1993; 27.766 ;Panama
1-01-1990;1990; 27.764 ;Paraguay
1-12-1970;1970; 27.748 ;Paraguay
1-03-1991;1991; 27.743 ;Panama
1-11-1985;1985; 27.742 ;Paraguay
1-12-1990;1990; 27.736 ;Paraguay
1-01-1982;1982; 27.732 ;Paraguay
1-04-2000;2000; 27.728 ;Panama
1-04-2008;2008; 27.727 ;Panama
1-01-1976;1976; 27.717 ;Paraguay
1-04-1989;1989; 27.694 ;Panama
1-06-1983;1983; 27.681 ;Panama
1-04-2013;2013; 27.671 ;Panama
1-09-2009;2009; 27.661 ;Panama
1-03-1990;1990; 27.658 ;Panama
1-12-1993;1993; 27.653 ;Paraguay
1-03-2006;2006; 27.652 ;Panama
1-06-1987;1987; 27.649 ;Panama
1-02-2000;2000; 27.648 ;Paraguay
1-03-1995;1995; 27.647 ;Panama
1-12-2009;2009; 27.644 ;Paraguay
1-06-2012;2012; 27.644 ;Panama
1-07-1972;1972; 27.635 ;Panama
1-02-2006;2006; 27.631 ;Paraguay
1-02-1978;1978; 27.626 ;Paraguay
1-05-2012;2012; 27.621 ;Panama
1-10-2002;2002; 27.617 ;Paraguay
1-04-1973;1973; 27.616 ;Panama
1-01-2005;2005; 27.614 ;Paraguay
1-04-1995;1995; 27.606 ;Panama
1-12-1995;1995; 27.606 ;Paraguay
1-03-1988;1988; 27.598 ;Panama
1-03-1997;1997; 27.596 ;Panama
1-03-2009;2009; 27.589 ;Panama
1-02-2002;2002; 27.584 ;Panama
1-04-2006;2006; 27.581 ;Panama
1-05-1987;1987; 27.572 ;Panama
1-12-1997;1997; 27.567 ;Panama
1-02-2009;2009; 27.567 ;Paraguay
1-01-1995;1995; 27.562 ;Paraguay
1-11-1990;1990; 27.559 ;Paraguay
1-03-1973;1973; 27.558 ;Panama
1-05-2004;2004; 27.556 ;Panama
1-02-1987;1987; 27.554 ;Panama
1-07-1983;1983; 27.553 ;Panama
1-12-1989;1989; 27.552 ;Paraguay
1-05-2005;2005; 27.551 ;Panama
1-05-2009;2009; 27.546 ;Panama
1-03-1978;1978; 27.543 ;Paraguay
1-01-1983;1983; 27.534 ;Panama
1-02-1991;1991; 27.534 ;Panama
1-02-1992;1992; 27.534 ;Panama
1-02-2013;2013; 27.526 ;Paraguay
1-05-2011;2011; 27.521 ;Panama
1-03-1980;1980; 27.516 ;Paraguay
1-02-1989;1989; 27.516 ;Paraguay
1-03-2009;2009; 27.505 ;Paraguay
1-03-1981;1981; 27.504 ;Panama
1-01-2007;2007; 27.502 ;Panama
1-03-1990;1990; 27.492 ;Paraguay
1-06-1992;1992; 27.489 ;Panama
1-01-2008;2008; 27.489 ;Paraguay
1-01-1995;1995; 27.485 ;Panama
1-04-1996;1996; 27.485 ;Panama
1-02-2001;2001; 27.485 ;Paraguay
1-07-2009;2009; 27.484 ;Panama
1-02-2005;2005; 27.478 ;Panama
1-12-1992;1992; 27.476 ;Paraguay
